id,genres,cast,director,writers,production_companies,producers,original_language,runtime,rating
28,"Horror, Comedy","Nann Mogg, E.G. Marshall, Ed Harris, Joe Hill, Leslie Nielsen, Carrie Nye, David Early, Ted Danson, Jon Lormer, Charles Van Eman, Viveca Lindfors, David Garrison, Christine Forrest, Warner Shook, Cletus Anderson, Hal Holbrook, Carol McCloskey, Ann Muffly, Stephen King, Marty Schiff, Iva Jean Saraceni, Chuck Aber, Katie Karlovitz, Richard P. Rubinstein, Darryl Ferrucci, Adrienne Barbeau, John Amplas, Gaylen Ross, Bingo O'Malley, Tom Savini, Peter Messer, Tom Atkins, Fritz Weaver",George A. Romero,Stephen King,"Creepshow Films Inc., Warner Bros. Pictures, Laurel Entertainment, United Film Distribution Company (UFDC)","Salah M. Hassanein, Richard P. Rubinstein",en,120,6.928
29,Drama,"Léa Seydoux, Antonio Troilo, Jean-François Stévenin, Yann Trégouët, Gabin Lefebvre, Magne-Håvard Brekke, Gillian Anderson, Luca May, Kacey Mottet Klein, Martin Compston",Ursula Meier,"Antoine Jaccoud, Gilles Taurand, Ursula Meier","Vega Film, Archipel 33>35, Bande à Part Films, RTS","André Bouvard, Ruth Waldburger",fr,100,6.752
30,"Action, Horror","Shane Richie, Tamer Hassan, Doug Bradley, Marcia Do Vales, Simon Phillips, Stuart Brennan, Dave Sommer, Billy Rumbol, Edmund Kingsley, Mads Koudal, Giovanni Lombardo Radice, Dominic Burns, Emily Booth, Rutger Hauer, Helen Griffin",Neil Jones,Neil Jones,,"Brian Medhurst, Lyndon Baldock, Neil Jones, Terence Davis, Stuart Brennan",en,98,4.1
31,"Comedy, Romance","Sanford Gibbons, Mike Standly, Don Johnson, Cheech Marin, Kevin Costner, Dennis Burkley, Melissa Young, Rob Harris, Frank Chirkinian, Mike Ritz, Ken Venturi, Nick Kiriazis, Jerry Pate, Billy Mayfair, Brad Britton, Gary McCord, Del Roy, Corey Pavin, Peter Kostis, Mark Thomason, Phil Mickelson, Ben Wright, Fred Couples, David Ogrin, Steven ""Sven"" Lewison, Amy Alcott, Tommy Armour III, Craig Stadler, Michael Milhoan, Blaine McCallister, Lou Myers, Harold G. Herthum, Tom Purtzer, Mickey Jones, Rex Linn, Sharon McCreedy, Kris Ancira, Bill Caplan, John Mahaffey, Jimmy Roberts, Brian Hammons, Bill Costner, Steve Elkington, Gregory Avellone, D.A. Weibring, Lance Barrow, Gregory Buff White, Kevin Wilson, Lee Janzen, John Cook, Jim Nantz, Richard Lineback, Sharon Costner, Joe Costner, Fredrick Lewis, Susan A. Cabral, George Michael, Linda Hart, Tom Todoroff, Arina Gasanova, Jess King, George Perez, Bruce Lietzke, Howard Twitty, Allan Malamud, Andrew Magee, Jim McLean, Rene Russo, Jeff Maggert, Peter Jacobsen",Ron Shelton,"John Norville, Ron Shelton","Regency Enterprises, Warner Bros. Pictures","Gary Foster, Arnon Milchan, David V. Lester",en,135,6
32,"Horror, Drama","Michel Creton, Yasmine Dahm, Claude Dauphin, Françoise Fabian, Jean-Marc Bory, Jean-Pierre Darras, André Weber, Gérard Depardieu",Juan Luis Buñuel,"Pierre-Jean Maintigneux, Juan Luis Buñuel","PEA, Les Productions Artistes Associés, Télécip",Robert Velin,fr,90,5.7
33,Comedy,Anubhav Singh Bassi,Abhishek Upmanyu,Anubhav Singh Bassi,,"Ankur Bhargava, Shivanand M. Lalwani, Rohit Gaur, Veena M. Lalwani, Karan Asnani",hi,83,6.7
34,Comedy,"Tommy Wirkola, Triana Iglesias, Jeppe Beck Laursen, Ingrid Bolsø Berdal, Frank Arne Olsen, Ørjan Gamst, Kristian Figenschow, Truls Svendsen, Christian Rubeck, Vegar Hoel, Jørn Tore Nilsen, Daniel Berge Halvorsen, Kim S. Falck-Jørgensen, Ivar Lykke, Stig Frode Henriksen, Bjørn Sundquist, Ewa Da Cruz",Vegar Hoel,"Tommy Wirkola, Stig Frode Henriksen","Living Films, Tappeluft Pictures","Tommy Wirkola, Terje Strømstad, Daniel Berge Halvorsen, Ivar Lykke, Stig Frode Henriksen, Kjetil Omberg",no,88,5.1
35,"Romance, Drama","Samvel Sarkisyan, Narbe Vartan, Allison Gangi, Pedram Ansari, Hovhannes Azoyan",Pouria Heidary Oureh,Pouria Heidary Oureh,,,en,78,1
36,Drama,"Suhasini Maniratnam, Samikannu, S.Ve. Sekar, Nithya, Sumalatha, Omakuchi Narasimhan, Prathap Pothan, Goundamani, T. K. S. Natarajan, Visu, Kamala Kamesh",S. P. Muthuraman,Visu,Visagam Pictures,,ta,144,6
37,"Crime, Comedy","Petar Božović, Ivan Bekjarev, Bogdan Kuzmanović, Goran Pleša, Gordana Bjelica, Miomir Radević 'Pigi', Milenko Pavlov, Velimir Živojinović, Slavoljub Plavšić 'Zvonce', Minja Vojvodić, Milutin Savić 'Džimi', Selimir Tošić, Nikola Simić, Lidija Vukićević",Zoran Čalić,"Dragan Čalić, Zoran Čalić","Viktorija Film, RTS",,sr,79,4.3
38,Drama,"Matthew J. McCarthy, Jacinta Puga, Christopher Abbott, Brady Corbet, Christopher McCann, Kelly AuCoin, Gaby Hoffmann, Dan Bittner, Emily Fleischer",Carlos Puga,Carlos Puga,"Standard Arts, Act Zero Films","Jean-Raphael Ambron, Brett Potter, Grant Curatola, E. McCabe Walsh, Andrew Corkin, Susan Shopmaker, Alexander Schepsman, Carlos Puga",en,82,4.6
39,,,,,,,en,76,5.5
40,"Comedy, Drama","Antoinette Maynard, Harvey Shain, Walter Camp, Jeanette Mills, Dee Howard, Bonnie Clark, William Vickers, Sharon Matt, Victoria Bond, Vincene Wallace",Herschell Gordon Lewis,Herschell Gordon Lewis,United Pictures Organization,Thomas J. Dowd,en,75,3.5
41,History,Scott Lambert,,,Roadshow Films,,en,90,7
42,Drama,"Mati Diop, Julián Larquier Tellarini, Oscar Williams, Dustin Guy Defa, Gabriela Saidón, Kyle Molzan, Ji Park, María Villar, Pablo Sigal, Keith Poulson, Agustina Muñoz, Ryan Miyake, Laura Paredes, Dan Sallitt, Bingham Bryant, Romina Paula, Micah Gottlieb, Ethan Spigland",Matías Piñeiro,Matías Piñeiro,"Cinema Conservancy, Trapecio Cine, Ravenser Odd","Andrew Adair, Jake Perlin, Melanie Schapiro, Graham Swon",es,87,5.2
43,Drama,"Jatra, Mohamed Said Salem, Memona Mohamed, Aziza Brahim, Nadhira Mohamed",Pedro Pérez Rosado,Pedro Pérez Rosado,"Pérez Rosado Producciones, Wanda Visión",Pedro Pérez Rosado,es,97,5.3
44,Comedy,"Paco Rueda, Rodrigo Corea, Isabella de la Torre, Miguel Rodarte, Andrés Almeida, Marcela Guirado, Gabriel Nuncio, Luis de la Rosa, Dominika Paleta, Juan Pablo Medina, Natasha Dupeyrón, Adal Ramones, Ernesto Laguardia",Humberto Hinojosa,Yibrán Asuad,,,es,90,6.4
45,Drama,"Delya de Medina, Jean-Paul Rouve, Isabelle Kabano, Veronika Varga, Tao Monladja, Djibril Vancoppenolle",Eric Barbier,"Eric Barbier, Gaël Faye","Jerico Films, Super 8 Production, StudioCanal, France 2 Cinéma, Pathé Productions","Eric Jehelmann, Jérôme Salle, Philippe Rousselet",fr,112,7.2
46,"Romance, Comedy, Drama","Deryl Carroll, Ed DeFusco, Bo Foxworth, Jean Marie McKee, Brenda Swanson, Judy Toll, Denise Crosby, John S. Curran, Diane Dickson, Harlan Arnold, Ben Hartigan, Michael Kidd, Steven Majewicz, Mark Goldstein, Robert Arthur, William Hubbard Knight, Don Maxwell, John Ritter, Larry Coven, Joel Brooks, Julianne Phillips, Scott Kraft, Richard Domeier, Vincent Gardenia, Karen Haber, Arsenio ""Sonny"" Trinidad, Sheryl Lee Ralph, Sati Jamal, Herb Tanney, Nina Foch, DeeDee Rescher, Chelsea Field, Bryan Genesse, Robert Dowdell, Raye Hollitt, Heidi Paine, Alyson Reed, Peter Donat, John McCann, Charles David Richards, Brenda Strong, Toni Attell, Robert Burleigh, Don Gordon, Diana Barton, Bobb Hopkins",Blake Edwards,Blake Edwards,"Morgan Creek Entertainment, Beco Films, 20th Century Fox","Tony Adams, James G. Robinson, Joe Roth",en,97,6.146
47,"Thriller, Crime","Sohan Seenulal, Teena Sunil, Ambika Mohan, Shalini Dinesh, Sarath Kumar, Gayathri Nambiar",Navaz Ali,Navaz Ali,Periyar Power Launtry,Shereef Moozhiyedathu,ml,118,7
48,"Comedy, Crime, Action","Charlie Davao, Tony Lorea, Logan Clarke, Nancy Kwan, Roderick Paulate, Louie Florentino, Ross Hagen",Gus Trikonis,"Gus Trikonis, Michael Laton, Ross Hagen",Hagen-Wayne Film Organization,"Gail Wayne, Ross Hagen",en,90,3
49,"Drama, Romance","Stacy Swinford, Ashok Lath, Shung Moo Joe, Denzel Washington, Sam Sherrill, J. D. Barrett, Mohan Agashe, Alix Henry Sanders, Argentina Moore, Mira Nair, Hollis Pippin, Tony McGhee, Varsha Thaker, Rev. Fred Matthews, Alix W. Sanders, Amrit Panesar, Yvette Hawkins, Jimmy Din, Larry Haggard, Ben Burford, Phavin Parbario, Sammy E. D. Senkumba, Dewey Buffington, Patsy Garrett, Jerone Wiggins, Sharon Williams, Tico Wells, E. W. Colvin, Sahira Nair, Joseph Olita, Emanuel Mudara, Wilberforce Muteta, Michael Wawuyo, Mohan Gokhale, Rick Senn, Willy Cobs, Joyce Murrah, Roshan Seth, Kevin McNeil, Buddy St Amant, Mahlon Bouldin, Mayambala Ssekasi, Ranjit Chowdhry, Bonnie M. Lubega, Sharmila Tagore, Rajika Puri, Natalie Oliver, Charles S. Dutton, Aanjjan Srivastav, Cyreio Hughes, Immaculate Byakatonda, Konga Mbandu, Karen Pinkston, James Dale, Richard Crick, Sarita Choudhury, Joe Seneca, Jim Haffey, Dillon Rozell Gross, Tre'Demont Spearman, Dipti Suthar, Nora Boland, Sadie Carr",Mira Nair,Sooni Taraporevala,"Cinecom Pictures, Mirabai Films, Film4 Productions, Samuel Goldwyn Company","Michael Nozik, Mira Nair, Cherie L. Rodgers",en,118,6.292
50,Documentary,Terry Masear,Sally Aitken,,,,en,93,8
51,"Documentary, Drama, History","Maria Heller, Dante Venesio",Gerard Williams,,"Grey Wolf Productions, Magnumhold",,en,94,5
52,"Adventure, Action, Crime","Ben Moselle, Movita, Pamela Blake, William Bailey, Myron Healey, John Laurenz, Noel Cravat, William Henry, Dennis Moore, William F. Leicester, Lori Talbott, Robert Shayne, George Eldredge, Bill Edwards, Lyle Talbot, Paul Hoffman, Joe Turkel",Robert Emmett Tansey,"Sam Neuman, Nat Tanchuck",Jack Schwarz Productions,Jack Schwarz,en,67,5
53,Comedy,"Dina Stathatou, Thanasis Tzeneralis, Smaro Stefanidou, Anna Roussou, Ilia Livykou, Stephanos Stratigos, Mihalis Papadakis, Vasilis Logothetidis, Vagelis Protopapas",Alekos Sakellarios,"Alekos Sakellarios, Christos Giannakopoulos",Millas Film,,el,98,6.6
54,"Drama, Family, Comedy","Rabeh Oskouie, Jamshid Mashayekhi, Alireza Khamseh, Ramin Nasernasir, Tannaz Tabatabaei, Baran Kosari, Fatemeh Motamed-Arya, Mohammad Reza Foroutan, Dariush Arjmand",HosseinAli Fallah Layalestani,HosseinAli Fallah Layalestani,,,fa,92,6
55,"Action, Crime, Drama, Thriller","Richard Gant, Brian Thompson, Peter Greene, Michael Dorn, Roger Guenveur Smith, Robin Paul, Marina Sirtis, Sparrow Heatley, John Dye, Isaac C. Singleton Jr., Rosa Blasi, Lara Phillips, Ed Marinaro, Ho-Sung Pak, Sherilyn Fenn, A Martinez, Gina St. John, Antonio Fargas",Wayne Kennedy,"Wayne Kennedy, Ho-Sung Pak",Catchlight Films,"Wayne Kennedy, Matthew E. Chausse, Ho-Sung Pak",en,88,4.785
56,"Thriller, TV Movie","Wendell Kinney, Adam Hollick, Alex Trumble, Thomas Gipson, Tristina Lee Bryant, Jamie Roy, Joe Corzo, Kylee Levien, Mark Hapka, Annika Foster, Ashlynn Yennie",John Murlowski,"John Murlowski, J. Emilio Martinez","Maple Island Films, Reel One Entertainment","Dave Hickey, Sebastian Battro, Breanne Hartley, J. Emilio Martinez, Tom Berry, John Murlowski, Jennifer Phillips",en,88,5.6
57,Drama,"Sissi Martina Palladini Farruggia, Susanna Gozzetti, Lorenzo Giordano, Olexa Gorodenko, Iryna Beniuk, Bohdan Beniuk, Mauro Cipriani, Simone Costa",Zaza Buadze,"Zaza Buadze, Grigoris Karantinakis",InsightMedia Producing Center,"Alla Ovsyannikova, Oleksandr Kovalenko",uk,116,8
58,"Romance, Comedy","Woo Hyeon, Lee Soon-jae, Oh Tae-kyung, Lee Beom-soo, Kim Min-jung, Kim Roi-ha, Hong Gyo-jin, Oh Dal-su, Ahn Nae-sang, Han Suk-kyu, Kim Byeong-ok",Kim Dae-woo,Kim Dae-woo,"CJ Entertainment, Bidangil Pictures, IM Pictures","Jeongha Im, Daeyong Sin, Kim Su-jin, Yun In-beom",ko,142,5.528
59,"TV Movie, Drama, Family","Jindřich Narenta, Jiří Císler, Rudolf Hrušínský, Slávka Španková, Vladimír Menšík, Michal Vejrostek, Bronislav Poloczek, Václav Mareš, Zdeněk Martínek, Luděk Munzar, Tomáš Murdych, Josef Vorel, Zdeněk Zindel, Radoslav Brzobohatý, Eliška Balzerová, Karel Augusta, Martin Mikuláš",Karel Kachyňa,"Pavel Kopta, Dušan Hamšík, Ota Pavel, Karel Kachyňa","Československá televize Praha, Filmové studio Barrandov",,cs,83,7.3
60,"Drama, Comedy","Sriman, Manorama, Nellai Siva, Vadivelu, Muthukalai, Tejashree, Monica, Manobala, Ilavarasu, Scisor Manogar, Nagesh, Nassar, Thiyagu",Chimbu Deven,"Chimbu Deven, Pulamaipithan",,Shankar,ta,142,7.778
61,"Romance, Drama, Family","Bridget John, Ladarian Raymond, Amaris L. Samuel",Austeen Eboka,Dianne Diaz,Alliance Productions,Everett Chuck Williams,en,96,1
62,"Drama, Mystery","Ray McKinnon, Sasha Alexander, Omid Abtahi, Bill Smitrovich, Tom Sizemore, Sprague Grayden",Jeffrey Goodman,"Peter Biegen, Max Allan Collins","Timbergrove Entertainment, Chaillot Films",David Koplan,en,93,6.4
63,"Drama, TV Movie","Ryan Kwanten, Fletcher Humphrys, Tom Berenger, Bernard Curry, Nick Tate, Ewen Leslie, Ryan Johnson",Mike Robe,"Mike Robe, Jim Dent",ESPN Original Entertainment,"James Dalthorp, Michael O. Gallant, Mark Shapiro, Orly Adelson, John H. Williams",en,93,6.2
64,Drama,"Joanna Alexandra, Firrina Sinatrya, Henidar Amroe, Christian Sugiono, Ramon Y. Tungka, A.T. Mahmud, Fairus Faisal, Vino G. Bastian, Laura Heimbach, Nadia Rachel, Marcel Chandrawinata, Joshua Pandelaki, Eva Anindita",Hanung Bramantyo,Salman Aristo,PT Rexinema Multimedia Pratama,Erwin Arnada,id,110,5.4
65,Fantasy,"Indrans, Punnaseri Kanchana, Samyuktha Karthik, Kadambari Shivaya, Kani Kusruti, P Sreekumar, Esther Anil, Shane Nigam, Radhika",Shaji N. Karun,T D Ramakrishnan,AVA Productions,A.V. Anoop,ml,109,5.7
66,"TV Movie, Comedy, Drama, Romance","Damon Gregory, Marlie Collins, Adam Hollick, Jai Braithwaite, Tyson Arner, Rhys Cauley, Shyinne Anastacio, Dayleigh Nelson, Lyndsey Wong, Brandon Giddens, Stephen Jefferys",Jim Cliffe,Courtney Taylor Burness,"CMW Mountain Productions, Champlain Media, Reel One Entertainment","Sebastian Battro, Cjay Boisclair, Suzanne Chapman, Bruce Harvey, Steven Woolworth, Breanne Hartley, Louisa Cadywould, Tom Berry",en,90,8.5
67,"Adventure, Family, Fantasy","Brent Morris, Kevin Wixted, Iulia Gavril, Stelian Nistor, Bryan J. Terrill, Godfrey James, Mihai Niculescu, David Brooks, Eugen Cristian Motriuc, Daniela Marzavan, Eileen T'Kaye, Ileana Sandulescu, Jamie Renée Smith, Saxon Trainor, Ion Haiduc, Gerrit Graham",Ted Nicolaou,"Michael McGann, Ken Carter, Frank Dietz","Full Moon Entertainment, Moonbeam Entertainment, Castel Film","Vlad Păunescu, Kevin Hyman, Charles Band",en,89,5
68,"Drama, Action, Family, War","Charlotte Treadway, Charles Williams, Harry Davenport, Nancy Evans, John Vosper, Jerry Hunter, Lionel Stander, Sharyn Moffett, Howard Johnson",Herbert Kline,,,,en,77,4.5
69,Documentary,Michael Jones,Marc Levin,,"Blowback Productions, HBO, HBO Documentary Films","Al Levin, Sheila Nevins, Marc Levin, Daphne Pinkerson",en,60,6
70,"Music, Documentary, Drama","Geezer Butler, Lita Ford, Eddie Trunk, Tony Iommi, Mick Wall, Ronnie James Dio, Rob Halford, Sebastian Bach, Jack Black, Wendy Dio, Bill Ward, Vinny Appice, Don Coscarelli","Don Argott, Demian Fenton",,,,en,116,7.5
71,"Animation, Romance","Yuka Nukui, Riho Yoshioka, Hiroyuki Yoshino, Hiroki Maeda, You Taichi, Hiroshi Tsuchida, Ryo Sugisaki, Fukushi Ochiai, Shion Wakayama, Yuto Uemura, Chikahiro Kobayashi, Akinori Egoshi, Ryuichi Kijima, Taiten Kusunoki, Atsumi Tanezaki, Ryo Yoshizawa, Ken Matsudaira",Tatsuyuki Nagai,"Masayoshi Tanaka, Mari Okada, Tatsuyuki Nagai","CloverWorks, Aniplex, Fuji Television Network, TOHO, Story, KADOKAWA","Minami Ichikawa, Atsuhiro Iwakami, Yoshihiro Furusawa, Hiroyuki Shimizu, Shunsuke Saitou, Narumi Odagiri, Shinichirou Inoue, Ryu Utsui, Noriko Ozaki, Akira Shimizu, Genki Kawamura",ja,108,7.113
72,"Horror, Romance","Chie Tanaka, Atsushi Okuno, Mitsuaki Kaneko, Runa Nagai, Tomomasa Ono, Akira Hirai, Eriko Odaira, Takara Harada, Hiroaki Muroi, Tomonori Yoshida, Mayumi Yoshida",Toshirô Inomata,"Junji Ito, Shôtarô Oikawa",,"Yasuyuki Uemura, Shun Shimizu, Naotada Itô",ja,72,4.9
